,apir_ticker,const,Market,Value,Size,Momentum,Quality,Classification,Tracking Error
Vanguard Australian Shares ETF,VAS,-11.73,363.39,-0.30,3.93,-1.35,-1.27,Size,0.50%
Pendal MicroCap Opportunities,RFA0061AU,4.26,19.56,-0.34,10.47,1.85,-1.46,Size,11.19%
Vertium Equity Income Fund,OPS1827AU,-0.40,19.58,-0.34,0.75,-2.23,-0.56,Alpha,6.31%
Perpetual ESG Australia ShareETF E,GIVE,1.42,11.00,-0.34,4.23,-0.17,1.30,Size,6.50%
DS Capital Growth Fund,DSC0001AU,2.41,18.03,-0.39,7.48,2.58,-0.42,Size,7.90%
Perpetual WFIA-Fidelity Australian Eq,PER0470AU,-3.06,63.79,-0.40,1.48,3.33,1.10,Momentum,2.71%
BetaShares Australian Div Harvester ETF,HVST,-3.13,17.55,-0.41,-1.89,-0.38,1.43,Alpha,7.32%
Lennox Australian Microcap Fund,HOW1289AU,0.81,7.08,-0.42,4.51,-0.57,-0.92,Size,15.87%
VanEck Small Coms Masters ETF,MVS,-2.28,28.23,-0.42,11.04,-0.91,0.66,Size,7.57%
Airlie Australian Share ETF,AASF,1.17,29.37,-0.44,3.15,-0.58,1.00,Size,3.90%
Ausbil MicroCap,AAP0007AU,3.49,14.74,-0.44,9.00,3.29,-2.13,Size,14.37%
Microequities Takeovers and Oppos,MIC1962AU,0.71,4.87,-0.44,2.38,0.36,-0.18,Alpha,13.20%
SPDR® S&P/ASX Small Ordinaries ETF,SSO,-1.79,43.29,-0.50,18.97,-3.59,-1.20,Size,7.99%
Perennial Value Emerging Industrial Tr,WPC1345AU,-0.45,4.84,-0.51,2.45,-1.75,-0.14,Alpha,14.54%
Ironbark Renaissance WS Plus AU Small Co,BTA0477AU,-1.77,21.15,-0.51,9.40,0.51,0.84,Size,7.90%
DNR Capital Australian Equities Income,PIM8302AU,1.13,11.13,-0.52,1.66,-1.43,-3.00,Alpha,6.65%
Spatium Small Companies,VIL2854AU,0.50,6.61,-0.53,3.87,-0.92,1.58,Size,16.57%
SPDR® S&P/ASX 200 ESG ETF,E200,-1.45,49.99,-0.53,-2.52,-1.82,1.43,Beta,1.77%
TRUE Infrastructure Fund,TIM4706AU,0.74,1.07,-0.54,-0.76,0.65,0.53,Alpha,13.11%
BT WE Fidelity Australian Equities,WFS0409AU,-1.78,59.56,-0.56,1.00,2.12,0.45,Alpha,2.96%
Mercer Australian Shares Plus,MIN0020AU,-2.96,91.01,-0.57,3.12,-1.06,-0.68,Size,2.16%
Pendal Smaller Companies,RFA0819AU,0.12,35.72,-0.57,17.06,3.72,0.03,Size,7.95%
EQT Flagship Fund - Wholesale Class,ETL5146AU,-1.22,71.42,-0.60,-6.11,-2.49,-0.43,Alpha,2.83%
Perpetual WFIA-Vanguard Australian Idx,PER0546AU,-13.09,233.10,-0.60,2.04,-1.27,0.73,Beta,0.87%
Bennelong Emerging Companies Fund,BFL3779AU,1.98,8.71,-0.61,5.36,-0.52,-1.29,Size,18.14%
Mercer Australian Shares,MIN0006AU,-3.32,63.57,-0.62,1.24,1.41,-2.09,Alpha,2.96%
BT Smaller Companies Retail,RFA0012AU,-0.41,35.70,-0.63,16.99,3.69,0.02,Size,7.99%
BetaShares Australia 200 ETF,A200,-5.65,226.90,-0.63,-1.12,-0.66,-0.14,Beta,0.48%
Lakehouse Small Companies Fund,OMF6696AU,0.70,9.91,-0.68,6.70,-0.80,1.35,Size,17.09%
SPDR® S&P/ASX 200 ETF,STW,-16.20,483.89,-0.70,-1.15,-1.88,-1.17,Beta,0.40%
Australian Ethical High Conviction ETF,AEAE,-0.73,6.80,-0.70,0.05,-0.36,-0.48,Alpha,7.38%
U Ethical Australian Equities Tr Wholsl,UGF2230AU,-0.38,39.01,-0.70,3.09,0.82,0.18,Size,4.77%
Ellerston Equity Income KIS Fund,ECL7259AU,0.43,17.50,-0.74,1.39,-0.13,0.04,Alpha,5.42%
Fiducian Australian Smaller Co Shares,FPS0008AU,0.24,31.03,-0.75,15.50,2.62,-1.40,Size,8.55%
Ellerston Australian MicroCap Fund,ECL0984AU,1.88,10.64,-0.78,5.72,-0.90,-1.65,Size,12.27%
Yarra Ex-20 Australian Equities Fund,JBW0052AU,-2.31,35.12,-0.78,4.04,1.70,-1.36,Size,5.65%
Perpetual WFIA-Investor Mutual Aus Sha,PER0482AU,-1.22,38.18,-0.79,-1.27,0.67,-1.94,Alpha,4.55%
Pendal Sustainable Australian Share,WFS0285AU,-3.72,76.96,-0.81,0.27,1.94,0.11,Alpha,2.52%
Vanguard Australian Shares Index,VAN0002AU,-12.96,399.46,-0.81,4.07,-1.25,-2.44,Size,0.52%
iShares Australian Equity Index,BGL0034AU,-13.35,396.70,-0.81,4.07,-0.01,-2.82,Size,0.53%
Yarra Australian Smaller Companies,JBW4991AU,-0.57,13.36,-0.84,3.44,-1.68,0.17,Size,7.38%
MLC MultiActive Australian Shares,IOF0092AU,-0.82,66.74,-0.85,6.07,-0.83,-0.53,Size,2.85%
BT Investor Choice Australian Growth Shr,WFS0022AU,-2.11,83.88,-0.89,-2.20,-0.42,-0.64,Alpha,2.31%
Selector Australian Equities,DDH0002AU,0.12,21.26,-0.90,7.80,0.78,2.21,Size,10.18%
Perpetual WFIA-Ausbil Aust Actv Eq,PER0450AU,-2.57,59.42,-0.90,-0.44,2.33,-1.58,Alpha,2.98%
Switzer Dividend Growth ETF,SWTZ,-2.08,30.69,-0.91,0.63,-0.20,-2.96,Alpha,3.58%
Selector High Conviction Equity A,SEL0461AU,0.31,21.74,-0.91,7.77,0.56,2.26,Size,10.26%
Touchstone Index Unaware,BFL0021AU,-0.35,28.91,-0.91,1.76,-1.47,-2.70,Alpha,4.13%
Pendal Australian Long/Short,RFA0064AU,0.53,79.42,-0.96,-3.04,-1.66,-0.80,Alpha,2.33%
Ellerston Australian Emerging Leaders,ECL6748AU,-0.38,7.78,-1.03,2.20,1.26,-1.39,Alpha,10.02%
Ausbil Australian Emerging Leaders,AAP0104AU,-0.83,34.75,-1.05,13.59,5.16,-1.03,Size,8.27%
Ellerston Micro Cap Client,ECL5380AU,0.16,6.26,-1.08,3.10,0.45,-1.94,Size,10.46%
Commonwealth Australian Equity Fund,COM0022AU,-0.56,18.71,-1.10,0.15,0.84,-1.55,Alpha,9.59%
State Street Australian Equity,SST0048AU,-2.12,28.68,-1.11,2.69,3.58,3.20,Momentum,6.17%
BetaShares Managed Risk AUS Shr ETF,AUST,-3.52,33.82,-1.11,-2.22,0.39,1.98,Alpha,5.80%
First Sentier Australian MidCap Fd,FSF8777AU,0.54,27.33,-1.11,8.34,-1.69,2.40,Size,6.53%
Commonwealth Imputation Share Fund,COM0012AU,-0.91,22.89,-1.12,0.36,1.11,-1.70,Alpha,8.08%
EGP Concentrated Value Fund,FHT1810AU,-0.91,6.97,-1.12,0.93,-0.70,-1.72,Alpha,12.28%
Implemented Australian Share Portfolio,PER0708AU,-1.18,59.79,-1.14,6.60,-0.78,-1.82,Size,2.90%
Dimensional Aust Small Company Trust,DFA0104AU,-0.32,48.33,-1.14,23.18,-3.35,-2.29,Size,8.20%
Northcape Capital Core Australian Shares,NCP0003AU,1.16,19.00,-1.16,0.24,-1.39,-1.43,Alpha,9.50%
Airlie Australian Share,MGE9705AU,0.99,31.03,-1.17,2.34,-0.17,0.16,Alpha,3.62%
Melior Australian Impact,PIM4806AU,-0.27,22.39,-1.17,1.67,-0.18,3.05,Quality,5.37%
State Street Australian Equities Idx Tr,SST0004AU,-13.03,428.64,-1.18,-0.65,-1.26,-1.58,Beta,0.45%
Solaris Australian Equity Long Short Fd,WHT3859AU,0.34,25.58,-1.19,0.92,0.78,-2.41,Alpha,4.79%
Martin Currie Real Income A,SSB0026AU,1.29,15.30,-1.20,1.14,2.60,-2.85,Momentum,8.51%
U Ethical Australian Equities Tr - Retl,UGF0001AU,-1.05,39.43,-1.22,3.75,0.78,-1.38,Size,4.64%
VanEck S&P/ASX MidCap ETF,MVE,0.06,12.62,-1.22,5.04,-4.36,-0.37,Size,13.25%
Macquarie Aus Pure Indexed Equities,MAQ0177AU,-9.37,323.39,-1.23,3.39,-0.69,-2.08,Size,0.63%
UBS Australian Small Companies Fund,UBS0004AU,1.89,28.02,-1.27,10.60,0.07,-2.68,Size,8.47%
Macquarie True Index Australian Shares,MAQ0288AU,-9.34,319.26,-1.30,3.23,-0.54,-2.01,Size,0.64%
EQT SGH W Emerging Companies,ETL0375AU,0.78,11.66,-1.31,6.06,-0.61,-2.77,Size,16.69%
First Sentier ex-20 Australian Share W,PIM1925AU,0.99,14.59,-1.33,7.05,0.70,1.15,Size,12.21%
Australian Ethical High Growth,AUG0008AU,0.56,28.29,-1.33,2.75,0.98,-0.43,Size,5.29%
Macquarie Australian Enhanced Plus Eqs,MAQ0178AU,-3.88,137.25,-1.35,3.12,0.73,0.95,Size,1.46%
OC Micro-Cap,OPS0004AU,1.99,14.26,-1.37,6.84,-1.88,-1.26,Size,13.85%
Bennelong Twenty20 Australian Equities,BFL0017AU,-0.83,26.95,-1.38,2.75,0.02,0.04,Size,4.94%
Pendal Focus Australian Share,RFA0059AU,0.30,62.33,-1.38,0.44,-0.42,-0.87,Alpha,3.00%
Yarra Emerging Leaders Fund (Direct),JBW0007AU,-1.61,30.02,-1.40,11.52,3.76,-2.19,Size,8.11%
Contact Australian Ex-50,EVO4741AU,-1.25,12.80,-1.41,2.82,2.55,0.70,Size,7.12%
Ironbark Renaissance Australian Sm Comp,PAT0002AU,1.07,23.21,-1.42,10.16,2.27,-0.87,Size,9.08%
Mercer Indexed Australian Shares,ADV0062AU,-3.16,94.18,-1.44,2.10,2.98,-3.38,Momentum,2.06%
Pendal Australian Equity,BTA0055AU,-0.98,86.51,-1.45,-0.32,-0.25,-0.82,Alpha,2.22%
BT Class Inv Core Aus Shr,RFA0011AU,-3.02,84.96,-1.46,-0.16,-0.02,-1.02,Alpha,2.25%
BT Aus Share Retail,BTA0021AU,-2.56,85.13,-1.47,-0.11,-0.07,-0.99,Alpha,2.25%
Fidelity Australian High Conviction,FID0021AU,-0.97,54.79,-1.49,4.21,2.90,0.08,Size,2.95%
VanEck Australian Equal Wt ETF,MVW,0.94,56.61,-1.53,9.56,-2.71,-1.21,Size,3.66%
SGH Medical Technology,ETL2825AU,-1.51,5.83,-1.56,1.28,-2.20,-0.40,Alpha,10.65%
Pendal Australian Share,RFA0818AU,-0.95,85.24,-1.57,-0.23,-0.05,-1.05,Alpha,2.25%
Pendal MidCap,BTA0313AU,1.73,39.94,-1.57,12.29,1.92,1.80,Size,6.02%
Yarra Australian Equities Fund,JBW0009AU,-1.09,54.34,-1.59,-2.00,0.46,-3.25,Alpha,3.73%
Elston Australian Emerging Leaders A,ETL7964AU,0.50,6.15,-1.59,2.52,-1.72,0.32,Alpha,17.71%
BetaShares Geared Australian Equity ETF,GEAR,-6.70,134.67,-1.61,-0.69,-0.65,-0.72,Alpha,18.23%
Macquarie Small Companies,MAQ0088AU,2.57,25.05,-1.62,13.21,0.90,-0.27,Size,10.02%
Solaris Australian Equity Income,WHT2589AU,-3.18,67.22,-1.66,0.29,0.12,-1.03,Beta,1.68%
BlackRock High Conviction Australian Eq,BLK0012AU,-1.78,16.64,-1.66,5.90,1.02,0.03,Size,9.05%
Perennial Better Future Fund,IMPQ,-0.18,14.31,-1.67,4.74,-1.38,-1.61,Size,9.02%
Prime Value Opportunities,PVA0005AU,-0.73,38.02,-1.68,5.60,4.38,0.41,Size,4.54%
Ausbil Australian Geared Equity,AAP0002AU,-2.01,62.85,-1.71,-0.83,2.46,-2.85,Alpha,18.10%
BetaShares Australian Quality ETF,AQLT,1.03,19.72,-1.76,1.36,-0.67,1.09,Alpha,4.41%
Macquarie Australian Enhanced Idx ShareA,AMP0257AU,-11.07,313.12,-1.76,-1.31,-0.18,-0.27,Beta,0.62%
The Montgomery Fund,FHT0030AU,0.00,21.26,-1.77,2.49,1.37,-0.39,Alpha,6.39%
Perennial Better Future Trust,WPC5600AU,0.18,15.72,-1.81,4.54,-1.84,-1.43,Size,8.16%
Eley Griffiths Group Small Companies,EGG0001AU,0.07,30.63,-1.86,13.61,1.85,-0.31,Size,8.52%
MA Equity Opportunities,MAA3828AU,-0.09,6.90,-1.91,2.36,0.19,-0.55,Alpha,12.81%
Solaris Core Australian Equity MPS,WFS4487AU,-2.72,59.44,-1.91,0.94,0.58,-2.63,Beta,1.93%
Yarra Leaders Fund,JBW0011AU,-1.72,55.85,-1.92,-3.93,-0.03,-3.00,Alpha,3.73%
Antares Pers High Growth Shares,PPL0108AU,-0.09,51.36,-1.93,-0.49,-0.63,-4.06,Alpha,3.77%
Greencape Broadcap,HOW0034AU,2.19,61.75,-1.94,3.43,-0.36,-0.38,Size,3.04%
Greencape High Conviction,HOW0035AU,2.27,57.23,-1.98,-0.03,-2.04,-0.82,Alpha,3.19%
Spheria Australian Smaller Companies,WHT0008AU,2.39,14.93,-1.99,5.79,-0.25,-3.02,Size,13.01%
DDH Australian Shares,QIN0002AU,-6.37,109.28,-2.00,0.21,-1.38,-0.74,Beta,1.77%
Warakirri Ethical Australian Equities,WRA7701AU,-1.97,37.81,-2.09,-0.62,-3.44,-0.48,Alpha,3.12%
VanEck MSCI AUS Sust Eq ETF,GRNV,-2.67,27.75,-2.10,1.72,-1.15,1.61,Alpha,4.86%
Third Link Growth,TGP0014AU,1.78,33.53,-2.26,8.13,3.71,-1.11,Size,5.66%
BetaShares S&P/ASX Australian Tech ETF,ATEC,1.01,6.64,-2.36,4.11,0.42,-0.38,Size,20.32%
Fidelity Australian Equities,FID0008AU,-0.19,73.43,-2.36,0.26,2.29,0.84,Alpha,2.73%
Intelligent Investor Ethical Share ETF,INES,1.75,10.01,-2.42,4.07,-1.29,-0.24,Size,9.59%
Bennelong Concentrated Australian Eq,BFL0002AU,0.17,22.96,-2.42,4.21,2.70,2.16,Size,8.70%
First Sentier Equity Income,FSF0961AU,-1.34,58.49,-2.44,-4.19,0.26,0.14,Alpha,4.33%
Hyperion Australian Growth Companies,BNT0003AU,0.48,22.24,-2.48,3.52,-1.08,3.72,Quality,9.49%
Ausbil 130/30 Focus - Institutional,AAP0003AU,-0.94,44.43,-2.58,-2.60,0.46,0.19,Growth,3.55%
Platypus Australian Equity MPS,WFS8899AU,0.18,12.11,-2.63,0.78,-1.12,3.23,Quality,7.50%
Quest X20 Australian Equities,ETL7425AU,1.10,18.35,-2.64,4.05,0.27,-3.59,Size,6.59%
iShares Edge MSCI Australia Mini Vol ETF,MVOL,-2.09,32.27,-2.67,0.35,0.27,1.25,Growth,3.92%
Russell Inv Australian Rspnb Inv ETF,RARI,-2.38,46.57,-2.72,1.07,0.41,-4.21,Growth,3.38%
Bennelong ex-20 Australian Equities,BFL0004AU,0.19,22.28,-2.79,7.01,2.80,1.06,Size,9.35%
CI Australian Equities Fund,CIP0005AU,0.68,47.77,-2.84,0.45,2.06,0.75,Growth,4.11%
ECP Growth Companies,OPS2991AU,0.86,10.24,-2.85,2.76,-1.07,-0.04,Growth,11.11%
SGH Ex-20 Australian Equities A,CRS0003AU,-1.77,40.17,-2.85,5.42,0.29,3.17,Size,5.05%
Investors Mutual Concentrated Aus Share,IML0010AU,0.68,20.83,-2.91,-0.53,0.79,-0.58,Growth,6.86%
Ausbil Active Sustainable Equity,AAP3940AU,0.50,31.27,-3.04,4.49,2.09,-2.68,Size,4.95%
Macquarie Yield Enhanced Aus Eq Fd,MAQ0459AU,-4.85,134.88,-3.23,1.32,0.36,-0.62,Growth,1.42%
AB Managed Volatility Equities ETF MVE,AMVE,-0.29,22.74,-3.25,0.75,3.81,2.02,Momentum,7.56%
BetaShares Martin Currie Real Income ETF,RINC,-0.39,12.86,-3.27,0.31,-0.17,-3.43,Growth,8.52%
Pendal Horizon Sustainable Aus Shr,RFA0025AU,-2.18,71.39,-3.32,1.44,1.33,-1.03,Growth,2.75%
AMP FLI-AMP Equity,AMP0018AU,-4.18,83.96,-3.36,-4.07,-0.21,-1.17,Growth,2.40%
CFS MIF-Australian Share,FSF0014AU,-1.92,47.26,-3.39,1.88,0.43,1.60,Growth,4.34%
Bennelong WS Plus ex-20 Aus Equities,BTA0480AU,-0.16,16.49,-3.41,4.62,0.61,0.31,Size,10.36%
Ausbil Australian Active Equity,AAP0103AU,-0.56,70.28,-3.43,-0.80,2.11,-2.24,Growth,3.09%
AB Managed Volatility Equities-Carb Ofst,ACM3950AU,-0.95,16.36,-3.44,-0.61,1.82,1.69,Growth,8.70%
BlackRock Advantage Australian Equity,BAR0814AU,-5.46,139.54,-3.46,0.88,2.55,3.41,Growth,1.58%
Warakirri Concentrated Australian Eqs,WRA3342AU,0.25,21.39,-3.48,-0.22,-2.46,-0.48,Growth,3.98%
Tribeca Alpha Plus Class A,ETL0069AU,1.52,33.81,-3.53,1.72,0.23,-1.71,Growth,5.61%
Bennelong Australian Equities,BFL0001AU,-0.32,29.54,-3.69,3.46,2.44,1.79,Growth,6.94%
ELMRI ANZ Conviction Fund,ELM9093AU,0.34,10.14,-3.81,1.53,0.05,1.09,Growth,12.86%
CI Endowment,CIP0006AU,-1.71,30.11,-3.87,0.83,2.75,-0.28,Growth,5.26%
The Elvest Fund,FHT0540AU,2.46,7.26,-4.01,-0.89,-0.51,-0.88,Growth,8.24%
Fiducian Australian Shares,FPS0006AU,-2.37,88.90,-4.03,2.80,-0.63,-2.13,Growth,2.29%
Macquarie Wholesale Australian Equities,MAQ0213AU,-0.06,84.38,-4.24,1.09,-1.10,0.89,Growth,2.46%
Fidelity Future Leaders,FID0026AU,-0.38,30.77,-4.39,10.31,4.87,1.74,Size,8.24%
VanEck Mrnngstr Aust Mt Inc ETF,DVDY,-0.27,10.20,-4.48,-1.20,-0.13,-1.42,Growth,8.03%
iShares Core MSCI Australia ESG ETF,IESG,-0.09,29.96,-4.51,1.52,-0.78,2.40,Growth,4.54%
Australian Small and Mid-Cap Fund,BEG4601AU,0.10,13.76,-4.51,3.90,0.10,-0.61,Growth,9.37%
Lincoln Wholesale Australian Growth,ETL0043AU,-1.33,20.99,-4.54,6.84,1.59,2.05,Size,10.43%
Solaris Core Australian Equity Inst,WHT0009AU,0.34,89.77,-4.58,-1.73,0.48,-3.39,Growth,2.15%
BlackRock Australian Share Plus,PWA0015AU,-2.58,33.49,-4.59,3.71,1.93,0.38,Growth,6.45%
BlackRock Equity,PWA0001AU,-2.60,33.50,-4.61,3.65,1.90,0.40,Growth,6.45%
WaveStone Australian Share,HOW0020AU,-1.50,70.87,-4.61,3.43,1.07,-0.07,Growth,3.01%
BlackRock Australian Share,PWA0014AU,-3.11,33.23,-4.63,3.05,1.59,0.40,Growth,6.33%
Macquarie Australian Equities,MAQ0278AU,0.08,87.00,-4.66,1.00,-1.16,0.71,Growth,2.40%
Vanguard Ethically Cons Aust Shrs Whlsl,VAN4509AU,-0.89,43.89,-4.71,2.53,0.09,-1.64,Growth,3.45%
Prime Value Growth B,PVA0011AU,-1.88,43.62,-4.71,4.82,3.32,-1.38,Size,4.73%
Vanguard Ethically Cnscs Aust Shrs ETF,VETH,-1.16,42.99,-4.72,2.42,0.23,-1.78,Growth,3.49%
BetaShares Aus Ex-20 Port Divrs ETF,EX20,-1.27,57.38,-5.11,12.78,-1.70,-2.85,Size,4.41%
Macquarie Australian Shares,MAQ0443AU,2.59,47.18,-5.18,1.60,-2.32,-0.80,Growth,4.44%
Platypus Australian Equities - Wholesale,AUS0030AU,-0.17,36.12,-5.27,4.87,0.71,3.61,Growth,6.71%
BT Class Inv Natural Resources,RFA0013AU,0.93,12.32,-5.36,3.22,-1.58,-2.95,Growth,16.77%
BetaShares Australian Sustnby Ldrs ETF,FAIR,-0.61,21.13,-6.23,1.62,0.14,-0.75,Growth,6.86%
SGH High Conviction Fund,ETL0042AU,0.42,33.78,-6.67,6.07,2.34,-1.68,Growth,6.68%
BetaShares Australian Faith-Based Ldrs,BSC0951AU,0.06,22.39,-6.99,3.54,-1.65,1.56,Growth,7.55%
Equanimity High Conviction Ordinary,TOT3036AU,,,,,,,Alpha,
Ellerston 2050 Wholesale,ECL5651AU,,,,,,,Alpha,10.12%
Aggressive 95,NRM0007AU,,,,,,,Alpha,
Global X S&P/ASX 200 Covered Call ETF,AYLD,,,,,,,Alpha,6.99%
VanEck Geared Australian Equal Weight H,GMVW,,,,,,,Alpha,9.97%
Global X Australia ex Fincls & Res ETF,OZXX,,,,,,,Alpha,4.13%
IML Concntr AUS Shr Fd (Quoted Mngd Fd),IMLC,,,,,,,Alpha,3.17%
BetasharesWthBdrAUS200Grd30-40%LVRCpxETF,G200,,,,,,,Alpha,
